review_id,review_text,reviewer_type,reviewer_name,business_unit,product_or_service,rating,location,city,state,country,timestamp,date,platform,device_type,sentiment_label,purchase_type,customer_tier,response_time,resolved,language,transaction_amount,tags
bd5370e2-f341-4973-88e5-d9fa8aba2b78,"Five stars. The Home Goods exceeded my expectations, especially the packaging.",Subscriber,Grace H.,E-commerce,Home Goods,4,"San Francisco, CA, USA",San Francisco,CA,USA,2025-11-17T00:39:49.703082,2025-11-17,Android App,Desktop,Positive,Subscription,Standard,4,False,en,3578.33,e-commerce;positive
49baf95a-8a55-4fc0-b189-59a1291a2eff,"Decent 5G Data Plan, however the coverage is extremely slow.",Subscriber,Grace H.,Telecom,5G Data Plan,3,"San Francisco, CA, USA",San Francisco,CA,USA,2026-04-27T11:14:49.703082,2026-04-27,iOS App,Tablet,Mixed,Subscription,Premium,16,True,en,3190.53,telecom;mixed
42a45ccb-e07f-467a-a623-6bd579d40621,Terrible menu variety. The Late Night Menu is a complete waste of money.,Guest,Frank T.,Food Delivery,Late Night Menu,1,"Austin, TX, USA",Austin,TX,USA,2025-08-12T22:54:49.703082,2025-08-12,Web,Desktop,Negative,One-time,VIP,4,True,en,4682.89,food delivery;negative
50dc4b06-5160-466b-826d-284aa56f56c9,I absolutely love the Billing System. The data export is fantastic and highly recommended!,Anonymous,Eve K.,SaaS,Billing System,4,"London, ENG, UK",London,ENG,UK,2025-12-13T19:25:49.703082,2025-12-13,iOS App,Tablet,Positive,One-time,Standard,35,True,en,4579.19,saas;positive
3722e7d3-7817-48c7-944b-60b3ca383143,"Oh brilliant, another update that breaks the 5G Data Plan. Masterful connection speed work.",Anonymous,Charlie R.,Telecom,5G Data Plan,1,"Sydney, NSW, Australia",Sydney,NSW,Australia,2025-08-28T07:31:49.703082,2025-08-28,Email,Mobile,Sarcastic,Renewal,Standard,28,True,en,273.12,telecom;sarcastic
5035ad01-6bb2-4da2-8976-a439bb916b4a,"Wow, I just love waiting 45 minutes for the Shipping & Delivery. Amazing packaging!",Guest,Bob M.,E-commerce,Shipping & Delivery,1,"New York, NY, USA",New York,NY,USA,2026-03-13T00:52:49.703082,2026-03-13,Web,Mobile,Sarcastic,One-time,Premium,31,True,en,2222.48,e-commerce;sarcastic
0bf926de-9d45-4ba2-8c1d-f89080b7110f,"Five stars. The 5G Data Plan exceeded my expectations, especially the billing.",Anonymous,Bob M.,Telecom,5G Data Plan,4,"New York, NY, USA",New York,NY,USA,2025-06-13T09:27:49.703082,2025-06-13,In-Store Kiosk,Mobile,Positive,One-time,Enterprise,20,True,en,2085.09,telecom;positive
d35f85b8-187e-4dc0-ab25-1a61ac34a111,Terrible shipping speed. The Home Goods is a complete waste of money.,Subscriber,John D.,E-commerce,Home Goods,2,"San Francisco, CA, USA",San Francisco,CA,USA,2025-10-22T18:59:49.703082,2025-10-22,Email,Desktop,Negative,One-time,Premium,4,False,en,1844.75,e-commerce;negative
c2a925c7-d7ae-4d4f-bf78-1185783b97ab,Non senseBilling System and the stupid data export. I hate this company.,Verified Buyer,Grace H.,SaaS,Billing System,2,"New York, NY, USA",New York,NY,USA,2025-07-01T01:36:49.703082,2025-07-01,In-Store Kiosk,Desktop,Toxic,Upgrade,Enterprise,4,False,en,1311.01,saas;toxic
694180b3-94c9-496d-bbfb-bafd68d596de,"Five stars. The Late Night Menu exceeded my expectations, especially the food temperature.",Subscriber,Grace H.,Food Delivery,Late Night Menu,5,"San Francisco, CA, USA",San Francisco,CA,USA,2025-07-29T09:35:49.703082,2025-07-29,iOS App,Mobile,Positive,Subscription,Standard,27,True,en,2334.98,food delivery;positive
235194a8-5a91-46e1-be87-755c90e1c420,Terrible router setup. The Fiber Internet is a complete waste of money.,Subscriber,Alice S.,Telecom,Fiber Internet,2,"Sydney, NSW, Australia",Sydney,NSW,Australia,2025-09-28T22:13:49.703082,2025-09-28,iOS App,Mobile,Negative,One-time,Enterprise,18,True,en,3542.21,telecom;negative
8531b01d-1590-4165-acd0-cd15960e02c8,"Decent API Access, however the uptime is extremely slow.",Guest,Bob M.,SaaS,API Access,2,"London, ENG, UK",London,ENG,UK,2025-12-23T13:44:49.703082,2025-12-23,Web,Desktop,Mixed,One-time,VIP,31,True,en,2683.71,saas;mixed
2781bda0-5aa2-482c-9634-dc7b6e715834,The Late Night Menu is buggy. The delivery driver never works right. I want a refund.,Verified Buyer,Alice S.,Food Delivery,Late Night Menu,1,"Toronto, ON, Canada",Toronto,ON,Canada,2025-06-08T09:56:49.703082,2025-06-08,Email,Mobile,Negative,One-time,Enterprise,42,False,en,2058.42,food delivery;negative
